Velocidad,Distancia,Salto
-8,292,0
-8,284,0
-8,276,0
-8,268,0
-8,260,0
-8,252,0
-8,244,0
-8,236,0
-8,228,0
-8,220,0
-8,212,0
-8,204,0
-8,196,0
-8,188,0
-8,180,0
-8,172,0
-8,164,0
-8,156,0
-8,148,0
-8,140,1
-8,132,1
-8,124,1
-8,116,1
-8,108,1
-8,100,1
-8,92,1
-8,84,1
-8,76,1
-8,68,1
-8,60,1
-8,52,1
-8,44,1
-8,36,1
-8,28,1
-8,20,1
-8,12,1
-8,4,1
-8,4,1
-8,12,1
-8,20,1
-8,28,1
-8,36,1
-8,44,1
-5,295,0
-5,290,0
-5,285,0
-5,280,0
-5,275,0
-5,270,0
-5,265,0
-5,260,0
-5,255,0
-5,250,0
-5,245,0
-5,240,0
-5,235,0
-5,230,0
-5,225,0
-5,220,0
-5,215,0
-5,210,0
-5,205,0
-5,200,0
-5,195,0
-5,190,0
-5,185,0
-5,180,0
-5,175,0
-5,170,0
-5,165,0
-5,160,0
-5,155,0
-5,150,0
-5,145,0
-5,140,0
-5,135,0
-5,130,0
-5,125,0
-5,120,0
-5,115,0
-5,110,0
-5,105,0
-5,100,0
-5,95,0
-5,90,0
-5,85,0
-5,80,0
-5,75,1
-5,70,1
-5,65,1
-5,60,1
-5,55,1
-5,50,1
-5,45,1
-5,40,1
-5,35,1
-5,30,1
-5,25,1
-5,20,1
-5,15,1
-5,10,1
-5,5,1
-5,0,1
-5,5,1
-5,10,1
-5,15,1
-5,20,1
-5,25,1
-5,30,1
-5,35,1
-5,40,1
-5,45,1
-5,50,1
-8,292,0
-8,284,0
-8,276,0
-8,268,0
-8,260,0
-8,252,0
-8,244,0
-8,236,0
-8,228,0
-8,220,0
-8,212,0
-8,204,0
-8,196,0
-8,188,0
-8,180,0
-8,172,0
-8,164,0
-8,156,0
-8,148,0
-8,140,0
-8,132,0
-8,124,0
-8,116,0
-8,108,1
-8,100,1
-8,92,1
-8,84,1
-8,76,1
-8,68,1
-8,60,1
-8,52,1
-8,44,1
-8,36,1
-8,28,1
-8,20,1
-8,12,1
-8,4,1
-8,4,1
-8,12,1
-8,20,1
-8,28,1
-8,36,1
-8,44,1
-9,295,0
-9,286,0
-9,277,0
-9,268,0
-9,259,0
-9,250,0
-9,241,0
-9,232,0
-9,223,0
-9,214,0
-9,205,0
-9,196,0
-9,187,0
-9,178,0
-9,169,0
-9,160,0
-9,151,0
-9,142,0
-9,133,0
-9,124,0
-9,115,0
-9,106,1
-9,97,1
-9,88,1
-9,79,1
-9,70,1
-9,61,1
-9,52,1
-9,43,1
-9,34,1
-9,25,1
-9,16,1
-9,7,1
-9,2,1
-9,11,1
-9,20,1
-9,29,1
-9,38,1
-9,47,1
-8,292,0
-8,284,0
-8,276,0
-8,268,0
-8,260,0
-8,252,0
-8,244,0
-8,236,0
-8,228,0
-8,220,0
-8,212,0
-8,204,0
-8,196,0
-8,188,0
-8,180,0
-8,172,0
-8,164,0
-8,156,0
-8,148,0
-8,140,0
-8,132,0
-8,124,0
-8,116,0
-8,108,0
-8,100,0
-8,92,0
-8,84,1
-8,76,1
-8,68,1
-8,60,1
-8,52,1
-8,44,1
-8,36,1
-8,28,1
-8,20,1
-8,12,1
-8,4,1
-8,4,1
-8,12,1
-8,20,1
-8,28,1
-8,36,1
-8,44,1
-5,295,0
-5,290,0
-5,285,0
-5,280,0
-5,275,0
-5,270,0
-5,265,0
-5,260,0
-5,255,0
-5,250,0
-5,245,0
-5,240,0
-5,235,0
-5,230,0
-5,225,0
-5,220,0
-5,215,0
-5,210,0
-5,205,0
-5,200,0
-5,195,0
-5,190,0
-5,185,0
-5,180,0
-5,175,0
-5,170,0
-5,165,0
-5,160,0
-5,155,0
-5,150,0
-5,145,0
-5,140,0
-5,135,0
-5,130,0
-5,125,0
-5,120,0
-5,115,0
-5,110,0
-5,105,0
-5,100,0
-5,95,0
-5,90,0
-5,85,0
-5,80,0
-5,75,0
-5,70,1
-5,65,1
-5,60,1
-5,55,1
-5,50,1
-5,45,1
-5,40,1
-5,35,1
-5,30,1
-5,25,1
-5,20,1
-5,15,1
-5,10,1
-5,5,1
-5,0,1
-5,5,1
-5,10,1
-5,15,1
-5,20,1
-5,25,1
-5,30,1
-5,35,1
-5,40,1
-5,45,1
-5,50,1
-9,295,0
-9,286,0
-9,277,0
-9,268,0
-9,259,0
-9,250,0
-9,241,0
-9,232,0
-9,223,0
-9,214,0
-9,205,0
-9,196,0
-9,187,0
-9,178,0
-9,169,0
-9,160,0
-9,151,0
-9,142,0
-9,133,0
-9,124,0
-9,115,0
-9,106,0
-9,97,0
-9,88,0
-9,79,0
-9,70,0
-9,61,1
-9,52,1
-9,43,1
-9,34,1
-9,25,1
-9,16,1
-9,7,1
-9,2,1
-9,11,1
-9,20,1
-9,29,1
-9,38,1
-9,47,1
-9,295,0
-9,286,0
-9,277,0
-9,268,0
-9,259,0
-9,250,0
-9,241,0
-9,232,0
-9,223,0
-9,214,0
-9,205,0
-9,196,0
-9,187,0
-9,178,0
-9,169,0
-9,160,0
-9,151,0
-9,142,0
-9,133,0
-9,124,0
-9,115,0
-9,106,0
-9,97,0
-9,88,0
-9,79,0
-9,70,1
-9,61,1
-9,52,1
-9,43,1
-9,34,1
-9,25,1
-9,16,1
-9,7,1
-9,2,1
-9,11,1
-9,20,1
-9,29,1
-9,38,1
-9,47,1
-7,294,0
-7,287,0
-7,280,0
-7,273,0
-7,266,0
-7,259,0
-7,252,0
-7,245,0
-7,238,0
-7,231,0
-7,224,0
-7,217,0
-7,210,0
-7,203,0
-7,196,0
-7,189,0
-7,182,0
-7,175,0
-7,168,0
-7,161,0
-7,154,0
-7,147,0
-7,140,0
-7,133,0
-7,126,0
-7,119,0
-7,112,0
-7,105,0
-7,98,0
-7,91,0
-7,84,0
-7,77,0
-7,70,1
-7,63,1
-7,56,1
-7,49,1
-7,42,1
-7,35,1
-7,28,1
-7,21,1
-7,14,1
-7,7,1
-7,0,1
-7,7,1
-7,14,1
-7,21,1
-7,28,1
-7,35,1
-7,42,1
-7,49,1
-9,295,0
-9,286,0
-9,277,0
-9,268,0
-9,259,0
-9,250,0
-9,241,0
-9,232,0
-9,223,0
-9,214,0
-9,205,0
-9,196,0
-9,187,0
-9,178,0
-9,169,0
-9,160,0
-9,151,0
-9,142,0
-9,133,0
-9,124,0
-9,115,0
-9,106,1
-9,97,1
-9,88,1
-9,79,1
-9,70,1
-9,61,1
-9,52,1
-9,43,1
-9,34,1
-9,25,1
-9,16,1
-9,7,1
-9,2,1
-9,11,1
-9,20,1
-9,29,1
-9,38,1
-9,47,1
-9,295,0
-9,286,0
-9,277,0
-9,268,0
-9,259,0
-9,250,0
-9,241,0
-9,232,0
-9,223,0
-9,214,0
-9,205,0
-9,196,0
-9,187,0
-9,178,0
-9,169,0
-9,160,0
-9,151,0
-9,142,0
-9,133,0
-9,124,0
-9,115,0
-9,106,0
-9,97,0
-9,88,0
-9,79,1
-9,70,1
-9,61,1
-9,52,1
-9,43,1
-9,34,1
-9,25,1
-9,16,1
-9,7,1
-9,2,1
-9,11,1
-9,20,1
-9,29,1
-9,38,1
-9,47,1
-5,295,0
-5,290,0
-5,285,0
-5,280,0
-5,275,0
-5,270,0
-5,265,0
-5,260,0
-5,255,0
-5,250,0
-5,245,0
-5,240,0
-5,235,0
-5,230,0
-5,225,0
-5,220,0
-5,215,0
-5,210,0
-5,205,0
-5,200,0
-5,195,0
-5,190,0
-5,185,0
-5,180,0
-5,175,0
-5,170,0
-5,165,0
-5,160,0
-5,155,0
-5,150,0
-5,145,0
-5,140,0
-5,135,0
-5,130,0
-5,125,0
-5,120,0
-5,115,0
-5,110,0
-5,105,0
-5,100,0
-5,95,0
-5,90,0
-5,85,0
-5,80,0
-5,75,0
-5,70,0
-5,65,0
-5,60,1
-5,55,1
-5,50,1
-5,45,1
-5,40,1
-5,35,1
-5,30,1
-5,25,1
-5,20,1
-5,15,1
-5,10,1
-5,5,1
-5,0,1
-5,5,1
-5,10,1
-5,15,1
-5,20,1
-5,25,1
-5,30,1
-5,35,1
-5,40,1
-5,45,1
-5,50,1
-7,294,0
-7,287,0
-7,280,0
-7,273,0
-7,266,0
-7,259,0
-7,252,0
-7,245,0
-7,238,0
-7,231,0
-7,224,0
-7,217,0
-7,210,0
-7,203,0
-7,196,0
-7,189,0
-7,182,0
-7,175,0
-7,168,0
-7,161,0
-7,154,0
-7,147,0
-7,140,0
-7,133,0
-7,126,0
-7,119,0
-7,112,0
-7,105,1
-7,98,1
-7,91,1
-7,84,1
-7,77,1
-7,70,1
-7,63,1
-7,56,1
-7,49,1
-7,42,1
-7,35,1
-7,28,1
-7,21,1
-7,14,1
-7,7,1
-7,0,1
-7,7,1
-7,14,1
-7,21,1
-7,28,1
-7,35,1
-7,42,1
-7,49,1
